class_index,review_text
1,care whether that cold-hearted snake Petrovich -LRB- that would be Reno -RRB- gets his comeuppance
2,the subject matter demands acting that borders on hammy at times
1,shrugging off the plot 's persnickety problems
3,how we all need a playful respite from the grind to refresh our souls
1,smart-aleck
3,flawless amounts
4,luminous interviews and amazingly evocative film from three decades ago
4,well-conceived
2,may find it baffling
1,take 3 hours to get through
2,bra
4,spellbinding fun and deliciously exploitative .
3,missing from the Girls ' big-screen blowout
0,problems with this film that even 3 Oscar winners ca n't overcome
2,more challenging
0,is an unpleasantly shallow and immature character with whom to spend 110 claustrophobic minutes .
4,At once disarmingly straightforward and strikingly devious .
3,is generally quite funny
2,are usually abbreviated in favor of mushy obviousness and
3,is itself Intacto 's luckiest stroke
4,he 's made at least one damn fine horror movie
4,It 's technically sumptuous but also almost wildly alive .
2,itself so deadly seriously
0,another self-consciously overwritten story about a rag-tag bunch of would-be characters that team up for a ca n't -
3,gives his best screen
3,` innovative ' and ` realistic '
3,The best drug addition movies
2,dwell
3,hooting it 's praises
1,In its chicken heart
1,that lack the kind of genuine depth that would make them redeemable
1,New ways of describing badness
3,such fury
0,A devastating indictment of unbridled greed and materalism .
4,is heartfelt and hilarious in ways you ca n't fake
0,is plainly dull and visually ugly when it is n't incomprehensible
2,computer-generated
3,well dressed and well made
3,outshine the best some directors
4,Sexy and romantic .
4,especially grateful for freedom
3,charismatic enough
4,Speaks eloquently about the symbiotic relationship between art and life .
4,regards Reign of Fire with awe .
1,it could have been so much more
2,-LRB- too -RRB-
4,This is a superior horror flick .
0,sordid and disgusting
2,retina
1,your least favorite
1,all mixed up together like a term paper from a kid who ca n't quite distinguish one sci-fi work from another
3,on action
0,a giant step backward for a director I admire
0,a personal low
1,tried to squeeze too many elements into the film
1,the film never manages to generate a single threat of suspense
4,ingenious
1,however well intentioned
1,something creepy about this movie
0,'s just plain lurid when it is n't downright silly
4,truly good
0,surrounded by 86 minutes of overly-familiar and poorly-constructed comedy .
1,the obligatory moments of sentimental ooze
3,of seeming at once both refreshingly different and reassuringly familiar
1,the dialogue frequently misses the mark
0,it 's simply unbearable
4,of enthralling drama
3,friendly
4,winning actor
2,first-time writer-director Neil Burger
0,do n't like
3,Like any good romance
0,to term an `` ambitious failure
0,Hungry-Man portions of bad
4,wonderful ensemble cast
3,Bambi
0,'s unfocused and tediously exasperating
0,But the second half of the movie really goes downhill .
0,the movie itself seems to have been made under the influence of Rohypnol
1,graceless and ugly
1,the plot -LRB- other than its one good idea -RRB- and the movie 's inescapable air of sleaziness
3,should definitely get top billing
4,the best silly horror movies
3,a welcome lack
1,extremely silly
2,The best drug
4,is a good-hearted ensemble comedy with a variety of quirky characters and an engaging story .
0,worst movies
1,drag as soon as the action speeds up
1,when one mulls leaving the familiar to traverse uncharted ground
4,call Reno a great film
4,gently comic even as the film breaks your heart
1,after drinking twelve beers
3,subconscious
2,UN
1,as sappy as Big Daddy
0,quite possibly the sturdiest example yet of why the DV revolution has cheapened the artistry of making a film
0,It reduces the complexities to bromides and slogans and it gets so preachy-keen and so tub-thumpingly loud it makes you feel like a chump just for sitting through it
3,'s a visual delight and a decent popcorn adventure
2,meandering teen flick .
0,is nearly incoherent
3,would make this a moving experience for people who have n't read the book
1,the oddest and most inexplicable sequels
0,Suffers from a flat script and a low budget
0,this otherwise appealing picture loses its soul to Screenwriting For Dummies conformity .
4,laughing
3,fearlessly gets under the skin of the people involved
0,Never capitalizes on this concept and opts for the breezy and amateurish feel of an after school special on the subject of tolerance .
2,real-life events
2,Life or Something
4,rollicking dark humor
1,grow boring ...
3,being invited to a classy dinner soiree
3,the scope and shape of an especially well-executed television movie
2,Chaykin and Headly
2,relying on the viewer
2,a time when we 've learned the hard way just how complex international terrorism is
0,stillborn except as a harsh conceptual exercise
2,the totalitarian themes of 1984 and Farenheit 451
2,bringing the story of Spider-Man to the big screen
3,so often end up on cinema screens
1,A disoriented but occasionally disarming saga
2,find better entertainment
1,A movie that 's held captive by mediocrity .
0,A half-assed film .
2,psyche
1,suspiciously
3,championship material
2,more chemistry
1,the picture itself is somewhat problematic
4,its Oscar-sweeping franchise predecessor
3,youthful and good-looking
3,'s quite fun in places .
0,Trying to make head or tail of the story in the hip-hop indie Snipes is enough to give you brain strain -- and the pay-off is negligible
0,addition to sporting one of the worst titles in recent cinematic history
1,` Ace Ventura ' rip-off
0,profoundly stupid affair
1,'s a mystery how the movie could be released in this condition
0,spooky action-packed trash of the highest order
4,should not be missed .
4,surprisingly well
4,'s equally hard to imagine anybody being able to tear their eyes away from the screen once it 's started
4,is heartfelt and hilarious in ways you ca n't fake .
1,to focus on the humiliation of Martin as he defecates in bed
3,an affection
1,The only problem
1,no other purpose
3,Do n't judge this one too soon
4,outstanding feature debut
1,the answer is as conventional as can be
4,'s easy to like and always leaves us laughing
0,The whole film has this sneaky feel to it -- as if the director is trying to dupe the viewer into taking it all as Very Important simply because the movie is ugly to look at and not a Hollywood product .
0,bad filmmaking
1,bull sessions
0,should be served an eviction notice at every theater stuck with it
0,'s been 13 months and 295 preview screenings since I last walked out on a movie
2,Videodrome
2,it might more accurately be titled Mr. Chips off the Old Block
3,it 's Dench who really steals the show
2,film performances
1,of bland comfort food
3,unflappable
0,that Stealing Harvard is a horrible movie -- if only it were that grand a failure
2,an excellent choice for the walled-off but combustible hustler
0,unbearably dull
1,unleashes his trademark misogyny
1,massive cardiac arrest
4,such high-wattage brainpower coupled with pitch-perfect acting
3,superhero
0,manages to do virtually everything wrong
4,Ferrara 's best film in years
0,is the most disappointing Woody Allen movie
1,never achieve the popularity of My Big Fat Greek Wedding
1,manipulative and as bland as Wonder Bread dipped in milk
0,clearly hopes to camouflage how bad his movie is .
1,seeing an otherwise good movie marred beyond redemption by a disastrous ending
1,what it lacks in outright newness
0,that it 's also too stupid to realize that they 've already seen this exact same movie a hundred times
2,dirgelike
2,mordant humor
1,wildly overproduced
1,drown out the tinny self-righteousness of his voice
1,such self-amused trash
0,little sticky and unsatisfied
2,late-inning twist
1,that it feels almost anachronistic
4,pure
2,the real NBA 's off-season
0,is impossible to care about and is n't very funny
3,feels comfortable with taking insane liberties and doing the goofiest stuff out of left field
0,suffers from the addition of a wholly unnecessary pre-credit sequence designed to give some of the characters a ` back story
3,shines like a lonely beacon
1,it 's a pretty mediocre family film .
3,as do the girls ' amusing personalities
0,essentially ruined --
4,'s a masterpiece .
2,as verging on mumbo-jumbo
4,the best of Herzog 's works
2,are in the saddle
4,its execution and skill of its cast
3,fresh again
4,One of the funniest motion pictures of the year
4,that Kidman has become one of our best actors
1,A grand fart
1,assuming the bar of expectations has n't been raised above sixth-grade height
0,the movie as a whole is cheap junk and an insult to their death-defying efforts
3,make the movie or the discussion any less enjoyable
2,who directed from his own screenplay
0,too long and unfocused
3,redeemable
0,eschews the previous film 's historical panorama and roiling pathos for bug-eyed mugging and gay-niche condescension
0,leave you wanting to abandon the theater
3,every bit as imperious as Katzenberg 's The Prince of Egypt from 1998 .
3,But it also has many of the things that made the first one charming .
3,does probably as good a job as anyone at bringing off the Hopkins\/Rock collision of acting styles and onscreen personas
2,of 20th Century France
0,then it 's the perfect cure for insomnia .
2,like character development and coherence
2,by his pretensions
1,An instantly forgettable snow-and-stuntwork extravaganza that likely will be upstaged by an avalanche of more appealing holiday-season product .
0,shockingly bad and absolutely unnecessary
0,shows that some studios firmly believe that people have lost the ability to think and will forgive any shoddy product as long as there 's a little girl-on-girl action .
4,funniest and most likeable movie
2,self-reflexive
4,makes this film special
1,'s not entirely memorable
0,ca n't shake the feeling that Crossroads is nothing more than an hour-and-a-half-long commercial for Britney 's latest album
4,the masterful British actor Ian Holm
1,Cherish would 've worked a lot better had it been a short film .
4,funny without hitting below the belt
0,What might have emerged as hilarious lunacy in the hands of Woody Allen or Mel Brooks -LRB- at least during their '70s heyday -RRB- comes across as lame and sophomoric in this debut indie feature .
4,A good documentary
4,a movie full of surprises
0,This painfully unfunny farce
3,dope
2,a model
4,a movie that grips and holds you in rapt attention from
1,missed opportunities .
4,plenty of entertainment value
4,most substantial feature for some time
2,his distance
0,A terrible movie that some people
1,the dark places of our national psyche
4,good pace
2,No amount
1,through vulgarities in a sequel you can refuse
1,psychopathic
3,finally comes into sharp focus
4,It 's a masterpeice .
4,made a movie that will leave you wondering about the characters ' lives after the clever credits roll
4,the astute direction of Cardoso and beautifully detailed performances by all of the actors
4,spellbinding fun
3,service of of others
3,comes along every day
3,incredible
0,skirts around any scenes that might have required genuine acting from Ms. Spears
3,`` Being Earnest '' overcome its weaknesses
3,proves to be sensational
0,seems a disappointingly thin slice of lower-class London life ; despite the title ... amounts to surprisingly little
1,if you 're going to subjugate truth to the tear-jerking demands of soap opera
0,too ludicrous and borderline insulting
2,culled
1,The movie 's heavy-handed screenplay
2,of their characters ' suffering
1,makes a better short story than it does a film
4,its beautiful women
3,take heart
3,is not always the prettiest pictures that tell the best story
2,speedy
1,downbeat
1,train wreck
2,chasing
1,Represents the depths to which the girls-behaving-badly film has fallen .
3,crafty
0,sucked
4,incredibly captivating and insanely funny
4,it is clearly a good thing .
0,as the queasy-stomached critic who staggered from the theater and blacked out in the lobby
1,About one in three gags in White 's intermittently wise script hits its mark ;
4,very good film
3,this illuminating comedy
4,Kinnear ... gives his best screen performance with an oddly winning portrayal of one of life 's ultimate losers .
4,provocative and prescient
4,'s refreshing to see a movie that embraces its old-fashioned themes and in the process comes out looking like something wholly original .
3,Starts off witty and sophisticated and
4,shines through every frame
1,the inanities of the contemporary music business and a rather sad story of the difficulties
1,need n't waste their time on it
0,has neither the charisma nor the natural affability that has made Tucker a star
2,film
1,capitalizes on this concept and opts for the breezy and amateurish feel of an after school special on the subject of tolerance
3,it more closely resembles this year 's version of Tomcats
3,The film has a terrific look and
1,addicted
0,steals
1,and completely ridiculous
2,Pasolini
2,S1M0NE
1,tendentious intervention
1,maudlin focus
1,that it 's the butt of its own joke
0,I had a lot of problems with this movie .
3,target practice
3,stand out
1,#NOM?
0,go down as the worst -- and only -- killer website movie of this or any other year
2,be as lonely and needy as any of the clients
4,more appealing holiday-season product
1,major acting lessons and
2,the film 's vision
3,more outre aspects
2,a splendid job of racial profiling Hollywood style
4,Morton deserves an Oscar nomination .
0,a drag
3,Toes the fine line between cheese and earnestness remarkably well
0,the price of admission for the ridicule factor
0,Deserving of its critical backlash and more
4,'d have to be a most hard-hearted person not to be moved by this drama .
0,it possible for the viewer to doze off for a few minutes or make several runs to the concession stand and\/or restroom and not feel as if he or she has missed anything
3,treat for its depiction on not giving up on dreams when you 're a struggling nobody .
0,it also wrecks any chance of the movie rising above similar fare
4,its makers actually seem to understand what made Allen 's romantic comedies so pertinent and enduring
4,all add up to a satisfying crime drama .
0,The movie is virtually without context -- journalistic or historical .
0,a movie as artificial and soulless
0,of Critical Jim two-dimensional and pointless
4,creative energy and wit to entertain all ages
2,about North Korea 's recent past and South Korea 's future
1,'s also far from being a realized work
1,so much tongue-in-cheek weirdness
1,creeping
3,starts with a legend
1,this like the dreaded King Brown snake
0,unforgettably stupid
2,coming to terms with time
2,need all the luck they can muster just figuring out who 's who
1,just do n't work in concert .
1,it 's quite enough to lessen the overall impact the movie could have had
0,remains a ponderous and pretentious endeavor that 's unfocused and tediously exasperating
3,almost Shakespearean -- both in depth and breadth --
1,Both deserve better .
0,for a critical and commercial disaster
0,by a script that takes few chances and manages to insult the intelligence of everyone in the audience
0,ultimately comes off as insultingly simplistic
0,sick and demented humor
4,A film about female friendship that men can embrace and women will talk about for hours .
3,reflective and
2,see one
1,than to rush to the theatre for this one
3,to the flowering of the South Korean cinema
0,A superfluous sequel
0,here is how so many talented people were convinced to waste their time
1,grow impatient
2,brand-new
3,The Lady and the Duke surprisingly manages never to grow boring ... which proves that Rohmer still has a sense of his audience .
3,The overall fabric is hypnotic
0,an ungainly movie
4,makes you believe the cast and crew thoroughly enjoyed themselves and believed in their small-budget film .
2,the magic of the original
0,even close to being the barn-burningly bad movie it promised it would be
0,being cast in action films when none of them are ever any good
1,a massive infusion
0,characters who are nearly impossible to care about
2,The all-French cast
0,Whether Jason X is this bad on purpose is never clear .
2,into the primal fears of young people trying to cope with the mysterious and brutal nature of adults
1,banal bore
0,offers nothing more than a bait-and-switch that is beyond playing fair with the audience
1,she dies
0,by its predictable plot and paper-thin supporting characters
0,'re clueless and inept
1,to mention dragged down by a leaden closing act
2,a sign of its effectiveness
3,in some delightful work on indie projects
1,cheapen the overall effect .
0,see this piece of crap
4,'s the funniest American comedy since Graffiti Bridge .
1,played-out
2,big-fisted direction
3,engage
0,A thoroughly awful movie --
3,There 's something to be said for a studio-produced film that never bothers to hand viewers a suitcase full of easy answers .
1,try for the greatness that Happy Together shoots for -LRB- and misses -RRB-
4,a couple of great actors hamming it up
4,cinematic art
1,gets added disdain for the fact
4,at its visual delights
4,that are quite touching
2,rapt attention
0,There is n't one moment in the film that surprises or delights .
3,entertaining documentary
4,are pitted against shimmering cinematography that lends the setting the ethereal beauty of an Asian landscape painting .
1,represents Adam Sandler 's latest attempt to dumb down the universe
1,phoney-feeling
1,leaves Blue Crush waterlogged
0,are just too many characters saying too many clever things and getting into too many pointless situations
1,'s too bad nothing else is .
1,a corny examination of a young actress trying to find her way
3,it to be better and more successful than it is
3,would make an excellent companion piece to the similarly themed ` The French Lieutenant 's Woman
1,uncinematic but
1,that 's been done before
2,The Sixth Sense
4,this film asks the right questions at the right time in the history of our country
3,moving documentary
1,a painful elegy and
4,the film is well-crafted and this one is
3,something poignant about an artist of 90-plus years taking the effort to share his impressions of life and loss and time and art with us
3,lively dream
2,find the oddest places
2,for the same reason
3,a work of entertainment
2,to the size of a downtown hotel
2,life on the big screen
0,relentlessly depressing
2,all plasma conduits
0,is frustratingly unconvincing .
2,sorry use of Aaliyah
1,usual fluttering and stammering
2,unanswered questions
4,fuses the events of her life with the imagery in her paintings so vividly that the artist 's work may take on a striking new significance for anyone who sees the film
3,a consistent tone
1,have a tendency to slip into hokum
4,This comic gem
4,playful
3,you swinging from the trees hooting it 's praises
3,'s very different from our own and yet instantly recognizable
2,Shekhar
0,sets a new benchmark for lameness .
3,of his sweetness and vulnerability
2,too scary
3,young talent
2,one point
0,This is the kind of movie that gets a quick release before real contenders arrive in September .
1,depleted
4,A tremendous piece
4,put to perfect use in the breathtakingly beautiful outer-space documentary Space Station 3D
4,to great artistic significance
0,of bad animation and mindless violence
3,opens today in the New York metropolitan area
4,is the kind of movie that deserves a chance to shine .
0,is no earthly reason other than money why this distinguished actor would stoop so low
3,vivid as the 19th-century ones
4,a real charmer
0,might be wishing for a watch that makes time go faster rather than the other way around .
3,who finds his inspiration on the fringes of the American underground
1,with an inauspicious
4,truly magical
1,low on energy
1,chaotic insanity
0,is one of the year 's worst cinematic tragedies .
2,to pass
3,recommend it enough
1,worst harangues
3,satisfying summer
0,It appears to have been made by people to whom the idea of narrative logic or cohesion is an entirely foreign concept .
1,through contrived plot points
2,traced
2,Elizabeth Berkley 's
2,on the gloss of convenience
1,from a severe case of Hollywood-itis
4,is the best he 's been in years
3,otherwise calculated
3,with a flick boasting this many genuine cackles
0,makes no sense
0,The Country Bears wastes an exceptionally good idea .
3,it 's very much like life itself .
1,totally weirded -
4,completely satisfying
3,is smart and entirely charming in intent and execution .
3,unflinching look
1,the attempt to complicate the story only defies credibility
0,high-minded snoozer .
4,a standout performance
0,a war tribute is disgusting to begin with
3,been filmed more irresistibly than in ` Baran
3,it 's quite fun in places .
4,is a remarkable piece of filmmaking ... because you get it
2,of lively songs for deft punctuation
0,all looks and plays like a $ 40 million version of a game you 're more likely to enjoy on a computer .
2,can be safely recommended as a video\/DVD babysitter
3,Now here 's a sadistic bike flick that would have made Vittorio De Sica proud .
1,loses all bite on the big screen
4,live happily ever
2,of adrenalin
2,Paul Cox
2,Ron Howard 's Apollo 13
0,to convince the audience that these brats will ever be anything more than losers
2,leaps over national boundaries and
4,an impressive and highly entertaining celebration of its sounds
3,got just enough charm and appealing character quirks to forgive that still serious problem
3,has its heart
4,A powerful performance from Mel Gibson and a brutal 90-minute battle sequence that does everything but issue you a dog-tag and an M-16
1,Men with Brooms is distinctly ordinary
4,... has done his homework and soaked up some jazzy new revisionist theories about the origins of Nazi politics and aesthetics .
4,most enjoyable
1,dishonest and pat
1,is just generally insulting
0,the only way for a reasonably intelligent person to get through The Country Bears
1,moldering
2,But this is not a movie about an inhuman monster
1,emptiness and maddeningly sedate pacing
0,having to inhale this gutter romancer 's secondhand material
4,is consistently amusing and engrossing
3,on expressing itself in every way imaginable
1,are terribly wasted
2,in the translation
4,is a successful one
3,Munch 's screenplay is tenderly observant of his characters .
1,that lacks juice and delight
2,fewer than five
2,the bull
2,motion pictures
2,the upper class
1,disagreeable
2,The result might look like Vulgar .
3,healing process
2,Belgian
1,to films which will cause loads of irreparable damage that years and years of costly analysis could never fix
3,together familiar themes
4,the picture 's cleverness
3,of riveting power and sadness
0,that 's 86 minutes too long
3,ditched the artsy pretensions
0,some futile concoction that was developed hastily after Oedekerk
3,an enjoyable trifle
3,deeply concerned with morality
0,a bad blend of an overripe episode of TV 's Dawson 's Creek and a recycled and dumbed-down version of Love Story
1,The Sweetest Thing leaves an awful sour taste .
3,Kaufman and Jonze take huge risks to ponder the whole notion of passion
2,the gravity of its subject matter
4,constant smiles and frequent laughter
4,Lawrence 's delivery remains perfect
1,is wrong in its sequel .
3,particularly original
1,a fan of the phrase ` life affirming ' because it usually means ` schmaltzy
2,care beyond the very basic dictums of human decency
0,he were stripped of most of his budget and all of his sense of humor
2,the first time around -
2,better than mid-range Steven Seagal
2,by a Dog
0,like the longest 90 minutes of your movie-going life
2,'re paying attention
4,life in the performances
2,it had just gone that one step further
0,What 's most offensive is n't the waste of a good cast
3,for an eagerness
1,they 're struggling to create .
4,sheer unbridled delight
3,This is n't a stand up and cheer flick ; it 's a sit down and ponder affair .
1,it 's stupid
1,unreligious
4,poignant
4,hard-hitting documentary .
4,spits out Denzel Washington 's fine performance in the title role
0,her character become a caricature -- not even with that radioactive hair
1,on their parents ' anguish
2,sequels
3,This was lazy but enjoyable
3,A slam-bang extravaganza
0,flails limply between bizarre comedy and pallid horror .
4,better
0,A beyond-lame satire
2,makes Sex
4,it forces you to ponder anew what a movie can be
3,a summertime look-see
0,an insultingly inept and artificial examination of grief and its impacts upon the relationships of the survivors
3,to become a household name on the basis of his first starring vehicle
3,she loves them to pieces
4,quite rich and exciting
1,fumbled
1,flavorless
3,adds up to big box office bucks all but guaranteed
0,'s pretty stupid
4,best short
1,blow it off the screen
1,twisted
2,the loss of culture
3,a good film that must have baffled the folks in the marketing department .
4,a terrific effort
2,ran out of movies years ago
0,have not been this disappointed by a movie in a long time
1,did n't offer an advance screening
2,is meant to make you think about existential suffering .
2,large it 's Altman-esque
1,interpreting the play as a call for pity and sympathy
1,the biggest disappointments
3,develop her own film language
4,work and 2002 's first great film
4,most magical and most fun family fare
4,provides an invaluable service by sparking debate and encouraging thought
1,have returned from the beyond to warn you
1,airs just about every cliche in the war movie compendium across its indulgent two-hour-and-fifteen-minute length
2,convolution
1,way off
0,A major waste
4,winning performances and
0,a movie that makes it possible for the viewer to doze off for a few minutes or make several runs to the concession stand and\/or restroom and not feel as if he or she has missed anything
2,about women being unknowable
1,the tedium
2,Fellowship 's heart
0,drowned me
1,its solemn pretension
2,the Old Block
3,a surprisingly faithful remake
2,the final effect
3,wind
2,look at the ins and outs of modern moviemaking .
3,enough sweet and
2,21st Century 's new `` Conan
1,is an action movie with an action icon who 's been all but decommissioned .
2,the food
2,all of Pootie Tang
3,certainly does the trick of making us care about its protagonist and celebrate his victories
4,most resonant film since The Killer
0,The film 's hero is a bore and
3,'re drawn in by the dark luster
2,the opera itself takes
3,good guys and
4,the film is well-crafted
0,so devoid of artifice and purpose
2,IMAX dimensions
3,we all need a playful respite from the grind to refresh our souls
4,the best script that Besson has written in years .
3,about each other against all odds
2,more answers
1,be warned
3,very stylish
1,undone by a filmmaking methodology that 's just experimental enough to alienate the mainstream audience while ringing cliched to hardened indie-heads
4,Huppert and Girardot give performances of exceptional honesty .
1,estranged from reality
1,is just hectic and homiletic : two parts exhausting Men in Black mayhem to one part family values
1,is off .
4,a stunning new young talent in one of Chabrol 's most intense psychological mysteries
3,bring off this kind of whimsy
1,of control on a long patch of black ice
1,was vile enough
4,carries it far above
3,somehow managed to make its way past my crappola radar and find a small place in my heart
1,scenes all end in someone screaming
4,it is a whole lot of fun and
0,What might have been acceptable on the printed page of Iles ' book does not translate well to the screen .
1,negotiate the many inconsistencies in Janice 's behavior or
4,I have a new favorite musical --
0,offensive and redundant
0,goes off the rails in its final 10 or 15 minutes
3,with energy and innovation
0,can be as tiresome as 9 seconds of Jesse Helms ' anti- Castro
0,cry for your money back
4,overflows with wisdom and emotion .
4,Morvern rocks .
3,faithful portraiture
4,may rate as the most magical and most fun family fare of this or any recent holiday season .
4,is still charming here
1,Wendigo wants to be a monster movie for the art-house crowd
0,that there 's no plot in this Antonio Banderas-Lucy Liu faceoff
4,'s fun for kids of any age
0,big time stinker
2,in the face of life 's harshness
0,poorly acted
4,is as delightful as it is derivative
2,any comedy
4,an all-around good time at the movies this summer
4,the movie is in a class by itself
1,make J.K. Rowling 's marvelous series into a deadly bore
4,best-foreign-film
2,of Bugsy than the caterer
1,were actually under 40
0,starts off promisingly but then proceeds to flop
2,wankery
0,a mess from start to finish
3,Friday the 13th
3,gets the tone just right --
0,come from a Xerox machine rather than -LRB- writer-director -RRB- Franc
1,is too bad
1,as a documentary -- but not very Imaxy
4,profound characterizations
4,stunning technical achievement
1,Offers no new insight
1,a heavy stench
3,The action sequences are fun and reminiscent of combat scenes from the Star Wars series .
4,make this worth a peek
4,superb
0,to have forgotten everything he ever knew about generating suspense
4,A fascinating documentary
1,a convolution of language that suggests it
1,exploiting
0,snooze
1,the film is static
4,Definitely worth 95 minutes
2,of pleasing the crowds
1,hinges on the subgenre 's most enabling victim ... and an ebullient affection for industrial-model meat freezers
3,large-format
1,is losing his touch
4,could n't recommend this film more .
3,about the best straight-up
2,a mechanical endeavor
3,unlimited access
3,A close-to-solid espionage thriller
0,rendered tedious
0,the most depressing movie-going experiences I can think of
2,from a tear-stained vintage Shirley Temple script
0,as bored
2,each other 's existence
0,see a train wreck that you ca n't look away from
3,windshield
2,from Don Mullan 's script
1,Cho 's latest comic set is n't as sharp or as fresh as I 'm the One That I Want ... but
3,an integrity
1,with Guardian hack Nick Davies
3,Its engaging simplicity
4,in this remarkable and memorable film
4,remarkable achival film
3,a haunting dramatization of a couple 's moral ascension
3,as an abstract Frank Tashlin comedy and as a playful recapitulation of the artist 's career
1,with bathos and pathos and the further Oprahfication of the world
3,reaching happiness
3,is what we call the ` wow ' factor .
2,The journey to the secret 's eventual discovery is a separate adventure
2,somber cop drama
2,year-end movies
2,that it 's only a peek
1,with lots of downtime in between
4,A touching drama about old age and grief with a tour de force performance by Michel Piccoli .
2,video tape
2,About as big a crowdpleaser as
1,mawkish dialogue
1,off-putting
4,undeniably moving
2,to the press notes
0,seriously bad
3,match his ambition
0,fritters away its potentially interesting subject matter via a banal script
3,Wang Xiaoshuai directs this intricately structured and well-realized drama that presents a fascinating glimpse of urban life and the class warfare that embroils two young men .
4,full of funny situations and honest observations
4,inventive cinematic tricks and an ironically killer soundtrack
2,locusts in a horde
3,John Carlen 's script
2,to see
2,did n't entirely
3,an accessible introduction
3,It 's provocative stuff
2,Morris
4,it 's a film that affirms the nourishing aspects of love and companionship .
2,positively irritating
2,self-inflicted
2,percentages all day
1,into a gross-out monster movie with effects that are more silly than scary
1,inane ramblings
0,Each scene wreaks of routine ;
3,the updated Dickensian sensibility of writer Craig Bartlett 's story
1,unsophisticated
3,Plummer steals the show without resorting to camp as Nicholas ' wounded and wounding Uncle Ralph .
4,very charming and funny
3,wow ' factor
4,A lovely film ...
4,high-octane thriller
1,Stuffy
2,surface flash
4,Superbly photographed and staged by Mendes with a series of riveting set pieces the likes of which mainstream audiences have rarely seen .
1,A waste of fearless purity
4,of astonishing grandeur
2,FearDotCom should log a minimal number of hits
0,offensive and nothing at all like real life
3,is A. . .
1,it 's the perfect cure for insomnia .
4,It 's hard to quibble with a flick boasting this many genuine cackles
4,an infectious enthusiasm
0,an `` ambitious failure
2,grenade gag ''
3,to make its subject interesting to those who are n't part of its supposed target audience
0,dreary movie .
4,Simultaneously heartbreakingly beautiful and exquisitely sad
1,just for sitting through it
1,It 's in the action scenes that things fall apart .
0,A very depressing movie
4,rarely have received such a sophisticated and unsentimental treatment on the big screen as they do in this marvelous film .
4,The film has an infectious enthusiasm
4,'ll love it and
2,Time Out and Human Resources -RRB-
0,worthless
1,Just offbeat
4,full of deep feeling
0,a ` guy 's film ' in the worst sense of the expression .
4,A stylistic romp that 's always fun to watch .
2,as if it were an extended short
3,a war tribute
